"","name","x","y"
"1","Northeast",-1893434400,25868573
"2","Northeast",-1577901600,29662053
"3","Northeast",-1262282400,34427091
"4","Northeast",-946749600,35976777
"5","Northeast",-631130400,39477986
"6","Northeast",-315597600,44677819
"7","Northeast",21600,49040703
"8","Northeast",315554400,49135283
"9","Northeast",631173600,50809229
"10","Northeast",946706400,53594378
"11","Northeast",1262325600,55317240
"12","Midwest",-1893434400,29888542
"13","Midwest",-1577901600,34019792
"14","Midwest",-1262282400,38594100
"15","Midwest",-946749600,40143332
"16","Midwest",-631130400,44460762
"17","Midwest",-315597600,51619139
"18","Midwest",21600,56571663
"19","Midwest",315554400,58865670
"20","Midwest",631173600,59668632
"21","Midwest",946706400,64392776
"22","Midwest",1262325600,66927001
"23","South",-1893434400,29389330
"24","South",-1577901600,33125803
"25","South",-1262282400,37857633
"26","South",-946749600,41665901
"27","South",-631130400,47197088
"28","South",-315597600,54973113
"29","South",21600,62795367
"30","South",315554400,75372362
"31","South",631173600,85445930
"32","South",946706400,100236820
"33","South",1262325600,114555744
"34","West",-1893434400,7082086
"35","West",-1577901600,9213920
"36","West",-1262282400,12323836
"37","West",-946749600,14379119
"38","West",-631130400,20189962
"39","West",-315597600,28053104
"40","West",21600,34804193
"41","West",315554400,43172490
"42","West",631173600,52786082
"43","West",946706400,63197932
"44","West",1262325600,71945553
